Food Code; code,Food Name; name,Local Name; lang,Energy; enerc,Total Fat; fatce,Dietary Fiber; fibtg,Carbohydrate; choavldf,Protein; protcnt
D022,BRINJAL-13,"A. BENGENA; B. BEGUN; E. EGGPLANT, AUBERGINE; G. RINGNA; H. BAINGAN; KAN. BADANE; KASH. WAGUN; KH. SOHBAINGON JYRNGAM; MAL. VAZHUTHINIGA; M. LAM KHAMEN; MAR. VANGE; N. BHANTAA; O. BAIGAN; P. BAIGAN; S. VRUNTAAKAM; TAM. KATHIRIKKAI; TEL. VANKAYA; U. BAIGAN.",124,0.31,3.92,4.51,1.49
D023,BRINJAL-14,"A. BENGENA; B. BEGUN; E. EGGPLANT, AUBERGINE; G. RINGNA; H. BAINGAN; KAN. BADANE; KASH. WAGUN; KH. SOHBAINGON JYRNGAM; MAL. VAZHUTHINIGA; M. LAM KHAMEN; MAR. VANGE; N. BHANTAA; O. BAIGAN; P. BAIGAN; S. VRUNTAAKAM; TAM. KATHIRIKKAI; TEL. VANKAYA; U. BAIGAN.",106,0.35,3.87,3.27,1.56
D024,BRINJAL-15,"A. BENGENA; B. BEGUN; E. EGGPLANT, AUBERGINE; G. RINGNA; H. BAINGAN; KAN. BADANE; KASH. WAGUN; KH. SOHBAINGON JYRNGAM; MAL. VAZHUTHINIGA; M. LAM KHAMEN; MAR. VANGE; N. BHANTAA; O. BAIGAN; P. BAIGAN; S. VRUNTAAKAM; TAM. KATHIRIKKAI; TEL. VANKAYA; U. BAIGAN.",114,0.29,3.99,3.96,1.58
D025,BRINJAL-16,"A. BENGENA; B. BEGUN; E. EGGPLANT, AUBERGINE; G. RINGNA; H. BAINGAN; KAN. BADANE; KASH. WAGUN; KH. SOHBAINGON JYRNGAM; MAL. VAZHUTHINIGA; M. LAM KHAMEN; MAR. VANGE; N. BHANTAA; O. BAIGAN; P. BAIGAN; S. VRUNTAAKAM; TAM. KATHIRIKKAI; TEL. VANKAYA; U. BAIGAN.",103,0.34,3.74,3.46,1.26
D026,BRINJAL-17,"A. BENGENA; B. BEGUN; E. EGGPLANT, AUBERGINE; G. RINGNA; H. BAINGAN; KAN. BADANE; KASH. WAGUN; KH. SOHBAINGON JYRNGAM; MAL. VAZHUTHINIGA; M. LAM KHAMEN; MAR. VANGE; N. BHANTAA; O. BAIGAN; P. BAIGAN; S. VRUNTAAKAM; TAM. KATHIRIKKAI; TEL. VANKAYA; U. BAIGAN.",91,0.36,3.94,2.89,1.18
D027,BRINJAL-18,"A. BENGENA; B. BEGUN; E. EGGPLANT, AUBERGINE; G. RINGNA; H. BAINGAN; KAN. BADANE; KASH. WAGUN; KH. SOHBAINGON JYRNGAM; MAL. VAZHUTHINIGA; M. LAM KHAMEN; MAR. VANGE; N. BHANTAA; O. BAIGAN; P. BAIGAN; S. VRUNTAAKAM; TAM. KATHIRIKKAI; TEL. VANKAYA; U. BAIGAN.",116,0.33,4.38,4.1,1.47
D028,BRINJAL-19,"A. BENGENA; B. BEGUN; E. EGGPLANT, AUBERGINE; G. RINGNA; H. BAINGAN; KAN. BADANE; KASH. WAGUN; KH. SOHBAINGON JYRNGAM; MAL. VAZHUTHINIGA; M. LAM KHAMEN; MAR. VANGE; N. BHANTAA; O. BAIGAN; P. BAIGAN; S. VRUNTAAKAM; TAM. KATHIRIKKAI; TEL. VANKAYA; U. BAIGAN.",100,0.31,3.97,3.39,1.26
D029,BRINJAL-20,"A. BENGENA; B. BEGUN; E. EGGPLANT, AUBERGINE; G. RINGNA; H. BAINGAN; KAN. BADANE; KASH. WAGUN; KH. SOHBAINGON JYRNGAM; MAL. VAZHUTHINIGA; M. LAM KHAMEN; MAR. VANGE; N. BHANTAA; O. BAIGAN; P. BAIGAN; S. VRUNTAAKAM; TAM. KATHIRIKKAI; TEL. VANKAYA; U. BAIGAN.",99,0.34,3.73,3.15,1.44
D030,BRINJAL-21,"A. BENGENA; B. BEGUN; E. EGGPLANT, AUBERGINE; G. RINGNA; H. BAINGAN; KAN. BADANE; KASH. WAGUN; KH. SOHBAINGON JYRNGAM; MAL. VAZHUTHINIGA; M. LAM KHAMEN; MAR. VANGE; N. BHANTAA; O. BAIGAN; P. BAIGAN; S. VRUNTAAKAM; TAM. KATHIRIKKAI; TEL. VANKAYA; U. BAIGAN.",113,0.35,3.85,3.93,1.36
D031,BRINJAL - ALL VARIETIES,"A. BENGENA; B. BEGUN; E. EGGPLANT, AUBERGINE; G. RINGNA; H. BAINGAN; KAN. BADANE; KASH. WAGUN; KH. SOHBAINGON JYRNGAM; MAL. VAZHUTHINIGA; M. LAM KHAMEN; MAR. VANGE; N. BHANTAA; O. BAIGAN; P. BAIGAN; S. VRUNTAAKAM; TAM. KATHIRIKKAI; TEL. VANKAYA; U. BAIGAN.",106,0.32,3.98,3.52,1.48
D032,URAHI,A,123,0.15,8.63,2.11,3.85
D032,MAKHON SHIM,B,123,0.15,8.63,2.11,3.85
D032,"FAVA BEAN, FABA BEAN, FIELD BEAN, BELL BEAN, TIC BEAN",E,123,0.15,8.63,2.11,3.85
D032,FAFDA PAPDI,G,123,0.15,8.63,2.11,3.85
D032,BAKLA,H,123,0.15,8.63,2.11,3.85
D032,CHKAOOARADAVARE,KAN,123,0.15,8.63,2.11,3.85
D032,BROAD BEANS,"A. URAHI; B. MAKHON SHIM; E. FAVA BEAN, FABA BEAN, FIELD BEAN, BELL BEAN, TIC BEAN; G. FAFDA PAPDI; H. BAKLA; KAN. CHKAOOARADAVARE; KASH. THOOL HAYMBE; KH. RI MAJAI; MAL. AMARAKKA; MAR. GHEWDA; O. SIMBA; TAM. AVARAI; TEL. PEDDA CHIKKUDU.",123,0.15,8.63,2.11,3.85
D032,THOOL HAYMBE,KASH,123,0.15,8.63,2.11,3.85
D032,AMARAKKA,MAL,123,0.15,8.63,2.11,3.85
D032,GHEWDA,MAR,123,0.15,8.63,2.11,3.85
D032,SIMBA,O,123,0.15,8.63,2.11,3.85
D032,AVARAI,TAM,123,0.15,8.63,2.11,3.85
D032,PEDDA CHIKKUDU,TEL,123,0.15,8.63,2.11,3.85
D032,RI MAJAI,KH,123,0.15,8.63,2.11,3.85
D033,KASHMIRI JALAKIA,A,68,0.34,2.06,1.84,1.11
D033,LANKA (BILATHI),B,68,0.34,2.06,1.84,1.11
D033,BHULER MARCHA,G,68,0.34,2.06,1.84,1.11
D033,SHIMLA MIRCH,H,68,0.34,2.06,1.84,1.11
D033,UNDAMULAGU,MAL,68,0.34,2.06,1.84,1.11
D033,"CAPSICUM, GREEN",A. KASHMIRI JALAKIA; B. LANKA (BILATHI); G. BHULER MARCHA; H. SHIMLA MIRCH; KAN. DONNMENA-SINAKAYI; KASH. SHIMLA MARCHWANGAN; KH. SOHMYNKEN JHUR JYRNGAM; MAL. UNDAMULAGU; MAR. BHOPLIMIRCHI; O. SHIMLA LANKA; P. SHIMLE-DI-MIRCHI; TAM. KODA MILAGAI; TEL. SHIMLA MIRCHI; U. SHIMLA MIRCHI.,68,0.34,2.06,1.84,1.11
D033,SHIMLA MARCHWANGAN,KASH,68,0.34,2.06,1.84,1.11
D033,SOHMYNKEN JHUR JYRNGAM,KH,68,0.34,2.06,1.84,1.11
D033,BHOPLIMIRCHI,MAR,68,0.34,2.06,1.84,1.11
D033,SHIMLA LANKA,O,68,0.34,2.06,1.84,1.11
D033,SHIMLE-DI-MIRCHI,P,68,0.34,2.06,1.84,1.11
D033,KODA MILAGAI,TAM,68,0.34,2.06,1.84,1.11
D033,SHIMLA MIRCHI,TEL,68,0.34,2.06,1.84,1.11
D033,DONNMENA-SINAKAYI,KAN,68,0.34,2.06,1.84,1.11
D034, DONNMENA- SINAKAYI,KAN,83,0.47,2.19,2.14,1.47
D034, SHIMLA MARCHWANGAN,KASH,83,0.47,2.19,2.14,1.47
D034,"CAPSICUM, RED",A. KASHMIRI JALAKIA; B. LANKA (BILATHI); G. BHULER MARCHA; H. SHIMLA MIRCH; KAN.  DONNMENA- SINAKAYI; KASH.  SHIMLA MARCHWANGAN; KH. SOHMYNKEN JHUR JYRNGAM; MAL. UNDAMULAGU; MAR. BHOPLIMIRCHI; O. SHIMLA LANKA; P. SHIMLE-DI-MIRCHI; TAM. KODA MILAGAI; TEL. SHIMLA MIRCHI; U. SHIMLA MIRCHI.,83,0.47,2.19,2.14,1.47
D035,"CAPSICUM, YELLOW",A. KASHMIRI JALAKIA; B. LANKA (BILATHI); G. BHULER MARCHA; H. SHIMLA MIRCH; KAN.  DONNMENA-SINAKAYI; KASH. SHIMLA MARCHWANGAN; KH. SOHMYNKEN JHUR STEM; MAL. UNDAMULAGU; MAR. BHOPLIMIRCHI; O. SHIMLA LANKA; P. SHIMLE-DI-MIRCHI; TAM. KODA MILAGAI; TEL. SHIMLA MIRCHI; U. SHIMLA MIRCHI.,78,0.41,2.19,1.95,1.35
D035,SOHMYNKEN JHUR STEM,KH,78,0.41,2.19,1.95,1.35
D035, DONNMENA-SINAKAYI,KAN,78,0.41,2.19,1.95,1.35
D036,PHUL KOBI,A,96,0.44,3.71,2.03,2.15
D036,PHUL KOPI,B,96,0.44,3.71,2.03,2.15
D036,FULAWAR,G,96,0.44,3.71,2.03,2.15
D036,PHOOLGOBI,KASH,96,0.44,3.71,2.03,2.15
D036,PHUL KUBI,KH,96,0.44,3.71,2.03,2.15
D036,KOBITHAMCHETMAI,M,96,0.44,3.71,2.03,2.15
D036,POOKOSU,TAM,96,0.44,3.71,2.03,2.15
D036,CAULIFLOWER,A. PHUL KOBI; B. PHUL KOPI; G. FULAWAR; H. PHUL GOBI; KAN. HUKOSU; KASH. PHOOLGOBI; KH. PHUL KUBI; MAL. CAULIFLOWER; M. KOBITHAMCHETMAI; MAR. PHUL GOBI; N. KAULI; O. PHUL KOBI; P. PHUL GOBI; S. GOJIHVAA; TAM. POOKOSU; TEL. GO PUVVU; U. PHUL GOBI.,96,0.44,3.71,2.03,2.15
D037,RANDHUNI,B,69,0.24,2.09,2.33,0.98
D037,AJMUD,H,69,0.24,2.09,2.33,0.98
D037,DIENG SELERI,KH,69,0.24,2.09,2.33,0.98
D037,SIVARIKKEERAI,TAM,69,0.24,2.09,2.33,0.98
D037,CELERY DAANDI,G,69,0.24,2.09,2.33,0.98
D037,CELERY STALK,B. RANDHUNI; H. AJMUD; KH. DIENG SELERI; G. CELERY DAANDI; TAM. SIVARIKKEERAI.,69,0.24,2.09,2.33,0.98
D038,CHO-CHO-MARROW,"A. SQUASH; E. CHO CHO MARROW, CHAYOTE; H. CHO-CHO-MARROW; KAN. CHO-CHO-MARROW; M. DASAKUSA; MAL. CHO-CHO-MARROW; MAR. CHO CHO SARA; O. PHUTI KAKUDI; KH. BISKOT; TAM. CHOW-CHOW.",79,0.15,1.55,3.47,0.66
D038,CHOW-CHOW,TAM,79,0.15,1.55,3.47,0.66
D038,BISKOT,KH,79,0.15,1.55,3.47,0.66
D038,PHUTI KAKUDI,O,79,0.15,1.55,3.47,0.66
D038,CHO CHO SARA,MAR,79,0.15,1.55,3.47,0.66
D038,DASAKUSA,M,79,0.15,1.55,3.47,0.66
D038,"CHO CHO MARROW, CHAYOTE",E,79,0.15,1.55,3.47,0.66
D038,SQUASH,A,79,0.15,1.55,3.47,0.66
D039,JHAR SIM,B,168,0.37,4.83,4.91,3.55
D039,MAH,A,168,0.37,4.83,4.91,3.55
D039,GAUR-KI-PHALLI,H,168,0.37,4.83,4.91,3.55
D039,GORI KOYI,KAN,168,0.37,4.83,4.91,3.55
D039,KOTHAVARA,MAL,168,0.37,4.83,4.91,3.55
D039,GOVARI,MAR,168,0.37,4.83,4.91,3.55
D039,GUANRA CHHUIN,O,168,0.37,4.83,4.91,3.55
D039,GUARAE-DI-FALIYA,P,168,0.37,4.83,4.91,3.55
D039,KOTHAVARANGA,TAM,168,0.37,4.83,4.91,3.55
D039,GORUCHIKKUDU,TEL,168,0.37,4.83,4.91,3.55
D039,GOVAR,G,168,0.37,4.83,4.91,3.55
D039,GUAR,E,168,0.37,4.83,4.91,3.55
D039,GAVAR KI PALLI,U,168,0.37,4.83,4.91,3.55
D039,CLUSTER BEANS,A. MAH; B. JHAR SIM; E. GUAR; G. GOVAR; H. GAUR-KI-PHALLI; KAN. GORI KOYI; KASH. HYAMBI; MAL. KOTHAVARA; MAR. GOVARI; O. GUANRA CHHUIN; P. GUARAE-DI-FALIYA; TAM. KOTHAVARANGA; TEL. GORUCHIKKUDU; U. GAVAR KI PALLI.,168,0.37,4.83,4.91,3.55
